Ptxdb,IqXY,SIC1,SER,SER1,Other
-1.500000000000000000e+01,4.396726393699645907e-02,4.396726393699645907e-02,6.828968999999999179e-01,6.828968999999999179e-01,1.356800000000000000e+04
-1.300000000000000000e+01,6.818123126029967951e-02,6.818123126029967951e-02,6.658636999999999473e-01,6.658636999999999473e-01,0.000000000000000000e+00
-1.100000000000000000e+01,1.043555896282195999e-01,1.043555896282195999e-01,6.449264000000000108e-01,6.449264000000000108e-01,0.000000000000000000e+00
-9.000000000000000000e+00,1.571087360382080189e-01,1.571087360382080189e-01,6.193364999999998455e-01,6.193364999999998455e-01,0.000000000000000000e+00
-7.000000000000000000e+00,2.318855137825012180e-01,2.318855137825012180e-01,5.874106000000000050e-01,5.874106000000000050e-01,0.000000000000000000e+00
-5.000000000000000000e+00,3.309160370826721431e-01,3.309160370826721431e-01,5.497436999999999463e-01,5.497436999999999463e-01,0.000000000000000000e+00
-3.000000000000000000e+00,4.542774496078491042e-01,4.542774496078491042e-01,5.061130000000000351e-01,5.061130000000000351e-01,0.000000000000000000e+00
-1.000000000000000000e+00,5.965135774612426722e-01,5.965135774612426722e-01,4.575213000000000196e-01,4.575213000000000196e-01,0.000000000000000000e+00
1.000000000000000000e+00,7.460479662418365576e-01,7.460479662418365576e-01,4.067468000000000194e-01,4.067468000000000194e-01,0.000000000000000000e+00
3.000000000000000000e+00,8.893716142177582329e-01,8.893716142177582329e-01,3.578911000000000175e-01,3.578911000000000175e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.014260681629180816e+00,1.014260681629180816e+00,3.151752999999999916e-01,3.151752999999999916e-01,0.000000000000000000e+00
7.000000000000000000e+00,1.107264352798461804e+00,1.107264352798461804e+00,2.848597999999999408e-01,2.848597999999999408e-01,0.000000000000000000e+00
9.000000000000000000e+00,1.164108585596084655e+00,1.164108585596084655e+00,2.682844999999999813e-01,2.682844999999999813e-01,0.000000000000000000e+00
1.100000000000000000e+01,1.183750156879425086e+00,1.183750156879425086e+00,2.670575000000000032e-01,2.670575000000000032e-01,0.000000000000000000e+00
1.300000000000000000e+01,1.178736048698425298e+00,1.178736048698425298e+00,2.758148999999999740e-01,2.758148999999999740e-01,0.000000000000000000e+00
1.500000000000000000e+01,1.162604207038879345e+00,1.162604207038879345e+00,2.896448000000000356e-01,2.896448000000000356e-01,0.000000000000000000e+00
1.700000000000000000e+01,1.145225597858428923e+00,1.145225597858428923e+00,3.036897000000000069e-01,3.036897000000000069e-01,0.000000000000000000e+00
1.900000000000000000e+01,1.133134610176086410e+00,1.133134610176086410e+00,3.146246999999999794e-01,3.146246999999999794e-01,0.000000000000000000e+00
2.100000000000000000e+01,1.124683370113372716e+00,1.124683370113372716e+00,3.224117999999999706e-01,3.224117999999999706e-01,0.000000000000000000e+00
2.300000000000000000e+01,1.119001963853835990e+00,1.119001963853835990e+00,3.270319999999999894e-01,3.270319999999999894e-01,0.000000000000000000e+00
2.500000000000000000e+01,1.115874669313430712e+00,1.115874669313430712e+00,3.295804999999999985e-01,3.295804999999999985e-01,0.000000000000000000e+00
2.700000000000000000e+01,1.112882678270340042e+00,1.112882678270340042e+00,3.312781000000000198e-01,3.312781000000000198e-01,0.000000000000000000e+00
2.900000000000000000e+01,1.110414899826049906e+00,1.110414899826049906e+00,3.328155999999999337e-01,3.328155999999999337e-01,0.000000000000000000e+00
