Ptxdb,IqXY,SIC1,SER,SER1,Other
-1.500000000000000000e+01,4.445450639724731617e-02,4.445450639724731617e-02,8.367090999999999834e-01,8.367090999999999834e-01,3.360000000000000000e+02
-1.300000000000000000e+01,6.890556097030639537e-02,6.890556097030639537e-02,8.268807999999999714e-01,8.268807999999999714e-01,0.000000000000000000e+00
-1.100000000000000000e+01,1.060979671478271547e-01,1.060979671478271547e-01,8.146812999999999416e-01,8.146812999999999416e-01,0.000000000000000000e+00
-9.000000000000000000e+00,1.621600332260131894e-01,1.621600332260131894e-01,7.986005999999999938e-01,7.986005999999999938e-01,0.000000000000000000e+00
-7.000000000000000000e+00,2.417806267738342174e-01,2.417806267738342174e-01,7.789603999999998862e-01,7.789603999999998862e-01,0.000000000000000000e+00
-5.000000000000000000e+00,3.519168691635131685e-01,3.519168691635131685e-01,7.545563999999999050e-01,7.545563999999999050e-01,0.000000000000000000e+00
-3.000000000000000000e+00,4.963672633171081761e-01,4.963672633171081761e-01,7.238580999999999488e-01,7.238580999999999488e-01,0.000000000000000000e+00
-1.000000000000000000e+00,6.754921493530273713e-01,6.754921493530273713e-01,6.853525999999999785e-01,6.853525999999999785e-01,0.000000000000000000e+00
1.000000000000000000e+00,8.833644537925720019e-01,8.833644537925720019e-01,6.380984000000000655e-01,6.380984000000000655e-01,0.000000000000000000e+00
3.000000000000000000e+00,1.116622134685516299e+00,1.116622134685516299e+00,5.799860000000000015e-01,5.799860000000000015e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.369341359376907263e+00,1.369341359376907263e+00,5.102550000000000141e-01,5.102550000000000141e-01,0.000000000000000000e+00
7.000000000000000000e+00,1.635411671400070155e+00,1.635411671400070155e+00,4.284950000000000148e-01,4.284950000000000148e-01,0.000000000000000000e+00
9.000000000000000000e+00,1.913899907827377289e+00,1.913899907827377289e+00,3.362318000000000251e-01,3.362318000000000251e-01,0.000000000000000000e+00
1.100000000000000000e+01,2.199030067920684672e+00,2.199030067920684672e+00,2.394133999999999984e-01,2.394133999999999984e-01,0.000000000000000000e+00
1.300000000000000000e+01,2.481688693523406819e+00,2.481688693523406819e+00,1.472040999999999766e-01,1.472040999999999766e-01,0.000000000000000000e+00
1.500000000000000000e+01,2.731027915000915574e+00,2.731027915000915574e+00,7.239699999999998914e-02,7.239699999999998914e-02,0.000000000000000000e+00
1.700000000000000000e+01,2.901150719165801917e+00,2.901150719165801917e+00,2.531740000000000032e-02,2.531740000000000032e-02,0.000000000000000000e+00
1.900000000000000000e+01,2.978410690307617070e+00,2.978410690307617070e+00,5.227100000000000149e-03,5.227100000000000149e-03,0.000000000000000000e+00
2.100000000000000000e+01,2.997180949211120549e+00,2.997180949211120549e+00,5.115000000000000189e-04,5.115000000000000189e-04,0.000000000000000000e+00
2.300000000000000000e+01,2.999296020984649758e+00,2.999296020984649758e+00,5.060000000000000343e-05,5.060000000000000343e-05,0.000000000000000000e+00
2.500000000000000000e+01,2.999521588325500421e+00,2.999521588325500421e+00,2.180000000000000134e-05,2.180000000000000134e-05,0.000000000000000000e+00
2.700000000000000000e+01,2.999659833908081108e+00,2.999659833908081108e+00,9.900000000000000081e-06,9.900000000000000081e-06,0.000000000000000000e+00
2.900000000000000000e+01,2.999716931343078485e+00,2.999716931343078485e+00,1.010000000000000155e-05,1.010000000000000155e-05,0.000000000000000000e+00
3.100000000000000000e+01,2.999715195178985550e+00,2.999715195178985550e+00,6.100000000000000042e-06,6.100000000000000042e-06,0.000000000000000000e+00
3.300000000000000000e+01,2.999753389835357886e+00,2.999753389835357886e+00,6.500000000000000447e-06,6.500000000000000447e-06,0.000000000000000000e+00
3.500000000000000000e+01,2.999754497528076325e+00,2.999754497528076325e+00,5.300000000000000925e-06,5.300000000000000925e-06,0.000000000000000000e+00
3.700000000000000000e+01,2.999817931652069003e+00,2.999817931652069003e+00,4.899999999999999672e-06,4.899999999999999672e-06,0.000000000000000000e+00
3.900000000000000000e+01,2.999848048686981183e+00,2.999848048686981183e+00,4.600000000000000004e-06,4.600000000000000004e-06,0.000000000000000000e+00
4.100000000000000000e+01,2.999833803176879865e+00,2.999833803176879865e+00,6.299999999999999821e-06,6.299999999999999821e-06,0.000000000000000000e+00
4.300000000000000000e+01,2.999784995079040506e+00,2.999784995079040506e+00,5.600000000000000594e-06,5.600000000000000594e-06,0.000000000000000000e+00
4.500000000000000000e+01,2.999827929973602370e+00,2.999827929973602370e+00,5.100000000000000299e-06,5.100000000000000299e-06,0.000000000000000000e+00
4.700000000000000000e+01,2.999796447753906303e+00,2.999796447753906303e+00,5.300000000000000925e-06,5.300000000000000925e-06,0.000000000000000000e+00
