Ptxdb,IqXY,SIC1,SIC2,SIC3,SIC4,SER,SER1,SER2,SER3,SER4,Other
-5.000000000000000000e+00,1.106464710831642217e-01,4.257234692573547141e-02,7.440343022346496138e-02,1.421384215354919434e-01,1.834716856479644831e-01,6.389524912587412064e-01,6.783934294871795112e-01,6.574606060606059676e-01,6.197335737179487936e-01,6.002223557692307754e-01,2.688000000000000000e+04
-3.000000000000000000e+00,2.524908635020255976e-01,1.074615824222564658e-01,1.899256205558776944e-01,3.172384774684905984e-01,3.953377735614776456e-01,5.724584963213869004e-01,6.348798076923076739e-01,5.946727272727272418e-01,5.441967147435896601e-01,5.160847355769231370e-01,0.000000000000000000e+00
-1.000000000000000000e+00,5.125198066234588623e-01,2.488171851634979337e-01,4.280970442295074507e-01,6.280553317070007857e-01,7.451096653938293901e-01,4.734198945585664231e-01,5.678205128205128238e-01,5.021060606060605558e-01,4.311278044871794113e-01,3.926252003205127905e-01,0.000000000000000000e+00
1.000000000000000000e+00,8.992974406480788163e-01,5.213044381141662686e-01,8.354122698307037131e-01,1.051994216442108110e+00,1.188478838205337507e+00,3.381918251019813693e-01,4.617908653846153899e-01,3.591515151515150550e-01,2.876181891025640924e-01,2.442067307692307732e-01,0.000000000000000000e+00
3.000000000000000000e+00,1.351710098683834183e+00,9.498077023029327659e-01,1.312680541276931789e+00,1.509148770570754916e+00,1.635203380584716815e+00,1.903465799825174720e-01,3.134455128205128061e-01,2.033454545454545515e-01,1.418589743589743490e-01,1.027363782051282093e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.725145513415336618e+00,1.461857200860977146e+00,1.707216910123825038e+00,1.827189780473709169e+00,1.904318162202835119e+00,7.572642682837993355e-02,1.505088141025640869e-01,8.072121212121212419e-02,4.647035256410255583e-02,2.520532852564102630e-02,0.000000000000000000e+00
7.000000000000000000e+00,1.919179001152515385e+00,1.824362772703170821e+00,1.906722400188445965e+00,1.964047977924346933e+00,1.981582853794097820e+00,2.079892282196969810e-02,4.518028846153846617e-02,2.435454545454545511e-02,9.174679487179487544e-03,4.486177884615385331e-03,0.000000000000000000e+00
9.000000000000000000e+00,1.980618373751640515e+00,1.960392978191375812e+00,1.974116679430008015e+00,1.993090307712555020e+00,1.994873529672622769e+00,4.667516207750582388e-03,9.423076923076922906e-03,6.451515151515152535e-03,1.650641025641025328e-03,1.144831730769230518e-03,0.000000000000000000e+00
1.100000000000000000e+01,1.992107768058776651e+00,1.984665452241897610e+00,1.988990385532379168e+00,1.996417248249053866e+00,1.998357986211776627e+00,1.757566652097902055e-03,3.333333333333333114e-03,2.621212121212121438e-03,7.632211538461536066e-04,3.124999999999999523e-04,0.000000000000000000e+00
