Ptxdb,IqXY,SIC1,SER,SER1,Other
-1.500000000000000000e+01,4.427344846725463773e-02,4.427344846725463773e-02,9.171725999999998935e-01,9.171725999999998935e-01,4.000000000000000000e+02
-1.300000000000000000e+01,6.896913528442383257e-02,6.896913528442383257e-02,9.117581999999999631e-01,9.117581999999999631e-01,0.000000000000000000e+00
-1.100000000000000000e+01,1.063349442481994617e-01,1.063349442481994617e-01,9.052493999999999819e-01,9.052493999999999819e-01,0.000000000000000000e+00
-9.000000000000000000e+00,1.618912982940673706e-01,1.618912982940673706e-01,8.969903000000000182e-01,8.969903000000000182e-01,0.000000000000000000e+00
-7.000000000000000000e+00,2.418463778495788530e-01,2.418463778495788530e-01,8.863325999999999150e-01,8.863325999999999150e-01,0.000000000000000000e+00
-5.000000000000000000e+00,3.525776467323303298e-01,3.525776467323303298e-01,8.731385000000000396e-01,8.731385000000000396e-01,0.000000000000000000e+00
-3.000000000000000000e+00,4.964965567588806028e-01,4.964965567588806028e-01,8.563131999999998856e-01,8.563131999999998856e-01,0.000000000000000000e+00
-1.000000000000000000e+00,6.759668202400207493e-01,6.759668202400207493e-01,8.356456000000000994e-01,8.356456000000000994e-01,0.000000000000000000e+00
1.000000000000000000e+00,8.854732875823974059e-01,8.854732875823974059e-01,8.093816999999999817e-01,8.093816999999999817e-01,0.000000000000000000e+00
3.000000000000000000e+00,1.119440939903259213e+00,1.119440939903259213e+00,7.769565000000000499e-01,7.769565000000000499e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.373150617122650186e+00,1.373150617122650186e+00,7.360851999999999951e-01,7.360851999999999951e-01,0.000000000000000000e+00
7.000000000000000000e+00,1.642995066165924056e+00,1.642995066165924056e+00,6.857043000000000443e-01,6.857043000000000443e-01,0.000000000000000000e+00
9.000000000000000000e+00,1.924606220722198557e+00,1.924606220722198557e+00,6.241385999999999878e-01,6.241385999999999878e-01,0.000000000000000000e+00
1.100000000000000000e+01,2.217869656085968089e+00,2.217869656085968089e+00,5.494818999999999676e-01,5.494818999999999676e-01,0.000000000000000000e+00
1.300000000000000000e+01,2.516813020229339504e+00,2.516813020229339504e+00,4.623039999999999927e-01,4.623039999999999927e-01,0.000000000000000000e+00
1.500000000000000000e+01,2.821048451900482146e+00,2.821048451900482146e+00,3.642078000000000260e-01,3.642078000000000260e-01,0.000000000000000000e+00
1.700000000000000000e+01,3.129656570911407254e+00,3.129656570911407254e+00,2.602653999999999801e-01,2.602653999999999801e-01,0.000000000000000000e+00
1.900000000000000000e+01,3.433594312191009301e+00,3.433594312191009301e+00,1.610183000000000031e-01,1.610183000000000031e-01,0.000000000000000000e+00
2.100000000000000000e+01,3.702974873065948636e+00,3.702974873065948636e+00,7.987690000000000068e-02,7.987690000000000068e-02,0.000000000000000000e+00
2.300000000000000000e+01,3.887985052108764439e+00,3.887985052108764439e+00,2.851839999999999931e-02,2.851839999999999931e-02,0.000000000000000000e+00
2.500000000000000000e+01,3.972808330535888555e+00,3.972808330535888555e+00,6.053300000000000174e-03,6.053300000000000174e-03,0.000000000000000000e+00
2.700000000000000000e+01,3.994355522155761840e+00,3.994355522155761840e+00,6.417999999999998793e-04,6.417999999999998793e-04,0.000000000000000000e+00
2.900000000000000000e+01,3.997771854400634872e+00,3.997771854400634872e+00,6.420000000000000197e-05,6.420000000000000197e-05,0.000000000000000000e+00
3.100000000000000000e+01,3.997989903926849387e+00,3.997989903926849387e+00,3.850000000000000747e-05,3.850000000000000747e-05,0.000000000000000000e+00
3.300000000000000000e+01,3.998032911300659187e+00,3.998032911300659187e+00,3.600000000000000091e-05,3.600000000000000091e-05,0.000000000000000000e+00
3.500000000000000000e+01,3.998289129257202035e+00,3.998289129257202035e+00,3.370000000000000599e-05,3.370000000000000599e-05,0.000000000000000000e+00
3.700000000000000000e+01,3.998308579921722394e+00,3.998308579921722394e+00,3.540000000000000666e-05,3.540000000000000666e-05,0.000000000000000000e+00
3.900000000000000000e+01,3.998740023136138966e+00,3.998740023136138966e+00,3.260000000000000636e-05,3.260000000000000636e-05,0.000000000000000000e+00
4.100000000000000000e+01,3.998536284446716493e+00,3.998536284446716493e+00,3.260000000000000636e-05,3.260000000000000636e-05,0.000000000000000000e+00
4.300000000000000000e+01,3.998496548175811682e+00,3.998496548175811682e+00,3.100000000000000813e-05,3.100000000000000813e-05,0.000000000000000000e+00
4.500000000000000000e+01,3.998408096313476712e+00,3.998408096313476712e+00,3.140000000000000430e-05,3.140000000000000430e-05,0.000000000000000000e+00
4.700000000000000000e+01,3.998387032032012733e+00,3.998387032032012733e+00,3.270000000000000879e-05,3.270000000000000879e-05,0.000000000000000000e+00
