Ptxdb,IqXY,SIC1,SIC2,SIC3,SIC4,SER,SER1,SER2,SER3,SER4,Other
4.000000000000000000e+00,2.354747022688388758e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.418988090753555031e-01,3.727282072368420882e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.490912828947368353e-02,4.508000000000000000e+04
5.000000000000000000e+00,2.429548709988594013e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.718194839954376052e-01,1.762515419407894787e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.050061677631579149e-03,0.000000000000000000e+00
6.000000000000000000e+00,2.471722339093685161e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.886889356374740645e-01,6.988589638157894496e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.795435855263157798e-03,0.000000000000000000e+00
7.000000000000000000e+00,2.490784837007522512e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.963139348030090048e-01,2.229646381578947480e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.918585526315789920e-04,0.000000000000000000e+00
8.000000000000000000e+00,2.497535546123981487e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.990142184495925948e-01,5.697471217105262655e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.278988486842105062e-04,0.000000000000000000e+00
9.000000000000000000e+00,2.499485856890678315e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.997943427562713259e-01,1.156455592105263026e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.625822368421052104e-05,0.000000000000000000e+00
1.000000000000000000e+01,2.499909820258617299e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.999639281034469196e-01,1.876027960526315684e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.504111842105262735e-06,0.000000000000000000e+00
1.100000000000000000e+01,2.499965359568595835e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.999861438274383341e-01,8.223684210526315181e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.289473684210526072e-06,0.000000000000000000e+00
1.200000000000000000e+01,2.499981599748134498e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.999926398992537990e-01,3.597861842105262759e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.439144736842105104e-06,0.000000000000000000e+00
1.300000000000000000e+01,2.499981743991374905e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.999926975965499620e-01,3.854851973684210439e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.541940789473684176e-06,0.000000000000000000e+00
1.400000000000000000e+01,2.499988905489444746e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.999955621957778984e-01,2.569901315789473626e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.027960526315789451e-06,0.000000000000000000e+00
1.500000000000000000e+01,2.499994671642780386e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.999978686571121544e-01,1.284950657894736813e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.139802631578947253e-07,0.000000000000000000e+00
1.600000000000000000e+01,2.499996883571147799e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.999987534284591195e-01,7.709703947368421143e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.083881578947368457e-07,0.000000000000000000e+00
1.700000000000000000e+01,2.499999327957630191e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.999997311830520763e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+01,2.499984977543354137e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.999939910173416546e-01,2.569901315789473626e-07,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.027960526315789451e-06,0.000000000000000000e+00
