Ptxdb,IqXY,SIC1,SER,SER1,Other
-1.500000000000000000e+01,4.476901841163635071e-02,4.476901841163635071e-02,6.745708999999999733e-01,6.745708999999999733e-01,4.320000000000000000e+02
-1.300000000000000000e+01,7.057137417793274414e-02,7.057137417793274414e-02,6.534058000000000366e-01,6.534058000000000366e-01,0.000000000000000000e+00
-1.100000000000000000e+01,1.103442513942718556e-01,1.103442513942718556e-01,6.268349000000000837e-01,6.268349000000000837e-01,0.000000000000000000e+00
-9.000000000000000000e+00,1.709031839370727668e-01,1.709031839370727668e-01,5.920140999999999876e-01,5.920140999999999876e-01,0.000000000000000000e+00
-7.000000000000000000e+00,2.620276720523834202e-01,2.620276720523834202e-01,5.478722999999999788e-01,5.478722999999999788e-01,0.000000000000000000e+00
-5.000000000000000000e+00,3.952481186389922851e-01,3.952481186389922851e-01,4.916748000000000229e-01,4.916748000000000229e-01,0.000000000000000000e+00
-3.000000000000000000e+00,5.824828915596008683e-01,5.824828915596008683e-01,4.212691999999999548e-01,4.212691999999999548e-01,0.000000000000000000e+00
-1.000000000000000000e+00,8.279614334106445428e-01,8.279614334106445428e-01,3.382095999999999991e-01,3.382095999999999991e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.125578960895538438e+00,1.125578960895538438e+00,2.446927000000000130e-01,2.446927000000000130e-01,0.000000000000000000e+00
3.000000000000000000e+00,1.441298480510711633e+00,1.441298480510711633e+00,1.515205000000000302e-01,1.515205000000000302e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.718074398756027188e+00,1.718074398756027188e+00,7.406809999999999783e-02,7.406809999999999783e-02,0.000000000000000000e+00
7.000000000000000000e+00,1.901328631162643390e+00,1.901328631162643390e+00,2.498919999999999614e-02,2.498919999999999614e-02,0.000000000000000000e+00
9.000000000000000000e+00,1.980308016777038604e+00,1.980308016777038604e+00,4.804600000000000017e-03,4.804600000000000017e-03,0.000000000000000000e+00
1.100000000000000000e+01,1.998338092327117899e+00,1.998338092327117899e+00,3.927000000000000044e-04,3.927000000000000044e-04,0.000000000000000000e+00
1.300000000000000000e+01,1.999965488433837812e+00,1.999965488433837812e+00,8.100000000000000375e-06,8.100000000000000375e-06,0.000000000000000000e+00
1.500000000000000000e+01,1.999999067068100045e+00,1.999999067068100045e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,1.999999864339828459e+00,1.999999864339828459e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000000e+01,1.999999880790710449e+00,1.999999880790710449e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000000e+01,1.999999994754791288e+00,1.999999994754791288e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000000e+01,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e+01,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000000e+01,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.900000000000000000e+01,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.100000000000000000e+01,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.300000000000000000e+01,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000000e+01,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.700000000000000000e+01,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.900000000000000000e+01,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.100000000000000000e+01,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.300000000000000000e+01,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000000e+01,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.700000000000000000e+01,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
