Ptxdb,IqXY,SIC1,SER,SER1,Other
-1.500000000000000000e+01,4.420914363861083718e-02,4.420914363861083718e-02,9.582932000000000672e-01,9.582932000000000672e-01,5.280000000000000000e+02
-1.300000000000000000e+01,6.886983489990233798e-02,6.886983489990233798e-02,9.555687000000000486e-01,9.555687000000000486e-01,0.000000000000000000e+00
-1.100000000000000000e+01,1.061455669403076202e-01,1.061455669403076202e-01,9.520981000000000583e-01,9.520981000000000583e-01,0.000000000000000000e+00
-9.000000000000000000e+00,1.617379550933837895e-01,1.617379550933837895e-01,9.477328999999999892e-01,9.477328999999999892e-01,0.000000000000000000e+00
-7.000000000000000000e+00,2.421147041320800830e-01,2.421147041320800830e-01,9.423667000000000016e-01,9.423667000000000016e-01,0.000000000000000000e+00
-5.000000000000000000e+00,3.523488616943359353e-01,3.523488616943359353e-01,9.355310999999999488e-01,9.355310999999999488e-01,0.000000000000000000e+00
-3.000000000000000000e+00,4.970216550827026292e-01,4.970216550827026292e-01,9.269096000000000002e-01,9.269096000000000002e-01,0.000000000000000000e+00
-1.000000000000000000e+00,6.761609058380126935e-01,6.761609058380126935e-01,9.159787999999999819e-01,9.159787999999999819e-01,0.000000000000000000e+00
1.000000000000000000e+00,8.852735128402710041e-01,8.852735128402710041e-01,9.024461999999999762e-01,9.024461999999999762e-01,0.000000000000000000e+00
3.000000000000000000e+00,1.119837154388427791e+00,1.119837154388427791e+00,8.853797999999999391e-01,8.853797999999999391e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.374637360572815048e+00,1.374637360572815048e+00,8.640755999999999437e-01,8.640755999999999437e-01,0.000000000000000000e+00
7.000000000000000000e+00,1.644700129508972264e+00,1.644700129508972264e+00,8.370524999999999771e-01,8.370524999999999771e-01,0.000000000000000000e+00
9.000000000000000000e+00,1.927810887336731005e+00,1.927810887336731005e+00,8.033266000000000018e-01,8.033266000000000018e-01,0.000000000000000000e+00
1.100000000000000000e+01,2.220735985279083113e+00,2.220735985279083113e+00,7.616423999999999417e-01,7.616423999999999417e-01,0.000000000000000000e+00
1.300000000000000000e+01,2.521387588977813898e+00,2.521387588977813898e+00,7.095643000000000367e-01,7.095643000000000367e-01,0.000000000000000000e+00
1.500000000000000000e+01,2.829111068725585820e+00,2.829111068725585820e+00,6.459574999999999623e-01,6.459574999999999623e-01,0.000000000000000000e+00
1.700000000000000000e+01,3.141000492572784353e+00,3.141000492572784353e+00,5.694088999999999956e-01,5.694088999999999956e-01,0.000000000000000000e+00
1.900000000000000000e+01,3.456365174770355431e+00,3.456365174770355431e+00,4.796037000000000217e-01,4.796037000000000217e-01,0.000000000000000000e+00
2.100000000000000000e+01,3.773693949222564736e+00,3.773693949222564736e+00,3.780270000000000574e-01,3.780270000000000574e-01,0.000000000000000000e+00
2.300000000000000000e+01,4.093861622810363698e+00,4.093861622810363698e+00,2.706512000000000362e-01,2.706512000000000362e-01,0.000000000000000000e+00
2.500000000000000000e+01,4.407817718505859794e+00,4.407817718505859794e+00,1.678677000000000086e-01,1.678677000000000086e-01,0.000000000000000000e+00
2.700000000000000000e+01,4.683674732208252145e+00,4.683674732208252145e+00,8.389649999999999885e-02,8.389649999999999885e-02,0.000000000000000000e+00
2.900000000000000000e+01,4.870985263824462841e+00,4.870985263824462841e+00,3.004149999999999876e-02,3.004149999999999876e-02,0.000000000000000000e+00
3.100000000000000000e+01,4.961982092857360804e+00,4.961982092857360804e+00,6.563799999999999843e-03,6.563799999999999843e-03,0.000000000000000000e+00
3.300000000000000000e+01,4.985351325988769844e+00,4.985351325988769844e+00,7.006999999999999557e-04,7.006999999999999557e-04,0.000000000000000000e+00
3.500000000000000000e+01,4.991048658370972113e+00,4.991048658370972113e+00,8.590000000000000088e-05,8.590000000000000088e-05,0.000000000000000000e+00
3.700000000000000000e+01,4.992249636650085698e+00,4.992249636650085698e+00,6.299999999999999990e-05,6.299999999999999990e-05,0.000000000000000000e+00
3.900000000000000000e+01,4.993415237426757969e+00,4.993415237426757969e+00,6.400000000000001066e-05,6.400000000000001066e-05,0.000000000000000000e+00
4.100000000000000000e+01,4.993270170211792092e+00,4.993270170211792092e+00,6.470000000000001412e-05,6.470000000000001412e-05,0.000000000000000000e+00
4.300000000000000000e+01,4.993779138565063391e+00,4.993779138565063391e+00,6.250000000000001485e-05,6.250000000000001485e-05,0.000000000000000000e+00
4.500000000000000000e+01,4.994295707702637088e+00,4.994295707702637088e+00,6.449999999999999570e-05,6.449999999999999570e-05,0.000000000000000000e+00
4.700000000000000000e+01,4.993329787254333851e+00,4.993329787254333851e+00,6.210000000000001868e-05,6.210000000000001868e-05,0.000000000000000000e+00
