Ptxdb,IqXY,SIC1,SER,SER1,Other
-1.500000000000000000e+01,4.426661205291747975e-02,4.426661205291747975e-02,9.789758000000000626e-01,9.789758000000000626e-01,7.840000000000000000e+02
-1.300000000000000000e+01,6.902844905853271207e-02,6.902844905853271207e-02,9.776702000000000448e-01,9.776702000000000448e-01,0.000000000000000000e+00
-1.100000000000000000e+01,1.063470544815063451e-01,1.063470544815063451e-01,9.758759000000000183e-01,9.758759000000000183e-01,0.000000000000000000e+00
-9.000000000000000000e+00,1.618637771606445397e-01,1.618637771606445397e-01,9.736809999999999077e-01,9.736809999999999077e-01,0.000000000000000000e+00
-7.000000000000000000e+00,2.416108407974243144e-01,2.416108407974243144e-01,9.708823999999999232e-01,9.708823999999999232e-01,0.000000000000000000e+00
-5.000000000000000000e+00,3.524219141006469935e-01,3.524219141006469935e-01,9.674918000000000129e-01,9.674918000000000129e-01,0.000000000000000000e+00
-3.000000000000000000e+00,4.971266412734985374e-01,4.971266412734985374e-01,9.631309000000000120e-01,9.631309000000000120e-01,0.000000000000000000e+00
-1.000000000000000000e+00,6.761176481246947700e-01,6.761176481246947700e-01,9.576287000000001104e-01,9.576287000000001104e-01,0.000000000000000000e+00
1.000000000000000000e+00,8.856363840103149698e-01,8.856363840103149698e-01,9.507737000000000549e-01,9.507737000000000549e-01,0.000000000000000000e+00
3.000000000000000000e+00,1.120504061698913478e+00,1.120504061698913478e+00,9.419887000000000121e-01,9.419887000000000121e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.375197931289672937e+00,1.375197931289672937e+00,9.310840000000000227e-01,9.310840000000000227e-01,0.000000000000000000e+00
7.000000000000000000e+00,1.644784135818481374e+00,1.644784135818481374e+00,9.172337000000000407e-01,9.172337000000000407e-01,0.000000000000000000e+00
9.000000000000000000e+00,1.928073005676269602e+00,1.928073005676269602e+00,9.001767999999999992e-01,9.001767999999999992e-01,0.000000000000000000e+00
1.100000000000000000e+01,2.221961201190948643e+00,2.221961201190948643e+00,8.780828999999999995e-01,8.780828999999999995e-01,0.000000000000000000e+00
1.300000000000000000e+01,2.522473990440368574e+00,2.522473990440368574e+00,8.508628999999999776e-01,8.508628999999999776e-01,0.000000000000000000e+00
1.500000000000000000e+01,2.830744630813598839e+00,2.830744630813598839e+00,8.168398000000000048e-01,8.168398000000000048e-01,0.000000000000000000e+00
1.700000000000000000e+01,3.142717495918273762e+00,3.142717495918273762e+00,7.743593000000000837e-01,7.743593000000000837e-01,0.000000000000000000e+00
1.900000000000000000e+01,3.459211138725280854e+00,3.459211138725280854e+00,7.218996999999999220e-01,7.218996999999999220e-01,0.000000000000000000e+00
2.100000000000000000e+01,3.777358018398285111e+00,3.777358018398285111e+00,6.574103000000000030e-01,6.574103000000000030e-01,0.000000000000000000e+00
2.300000000000000000e+01,4.099095717430114583e+00,4.099095717430114583e+00,5.797993000000000174e-01,5.797993000000000174e-01,0.000000000000000000e+00
2.500000000000000000e+01,4.420121091842651673e+00,4.420121091842651673e+00,4.884585999999999650e-01,4.884585999999999650e-01,0.000000000000000000e+00
2.700000000000000000e+01,4.736259585380554249e+00,4.736259585380554249e+00,3.860275000000000234e-01,3.860275000000000234e-01,0.000000000000000000e+00
2.900000000000000000e+01,5.063988890647888041e+00,5.063988890647888041e+00,2.765419000000000072e-01,2.765419000000000072e-01,0.000000000000000000e+00
3.100000000000000000e+01,5.344125038146972706e+00,5.344125038146972706e+00,1.722954999999999903e-01,1.722954999999999903e-01,0.000000000000000000e+00
3.300000000000000000e+01,5.619394598960876230e+00,5.619394598960876230e+00,8.631020000000000358e-02,8.631020000000000358e-02,0.000000000000000000e+00
3.500000000000000000e+01,5.825197053909302092e+00,5.825197053909302092e+00,3.107970000000000177e-02,3.107970000000000177e-02,0.000000000000000000e+00
3.700000000000000000e+01,5.891662111282348846e+00,5.891662111282348846e+00,7.761699999999999849e-03,7.761699999999999849e-03,0.000000000000000000e+00
3.900000000000000000e+01,5.945276220321654925e+00,5.945276220321654925e+00,8.587000000000000015e-04,8.587000000000000015e-04,0.000000000000000000e+00
4.100000000000000000e+01,5.960557291030883498e+00,5.960557291030883498e+00,1.328000000000000296e-04,1.328000000000000296e-04,0.000000000000000000e+00
4.300000000000000000e+01,5.968702197074890137e+00,5.968702197074890137e+00,9.330000000000000457e-05,9.330000000000000457e-05,0.000000000000000000e+00
4.500000000000000000e+01,5.973731392860412548e+00,5.973731392860412548e+00,9.460000000000002261e-05,9.460000000000002261e-05,0.000000000000000000e+00
4.700000000000000000e+01,5.966218207359314185e+00,5.966218207359314185e+00,9.540000000000001495e-05,9.540000000000001495e-05,0.000000000000000000e+00
