Ptxdb,IqXY,SIC1,SER,SER1,Other
-1.500000000000000000e+01,4.415301609039306435e-02,4.415301609039306435e-02,4.008242999999999667e-01,4.008242999999999667e-01,2.880000000000000000e+02
-1.300000000000000000e+01,6.888310933113098167e-02,6.888310933113098167e-02,3.758051000000000585e-01,3.758051000000000585e-01,0.000000000000000000e+00
-1.100000000000000000e+01,1.063336694240570035e-01,1.063336694240570035e-01,3.451760999999999857e-01,3.451760999999999857e-01,0.000000000000000000e+00
-9.000000000000000000e+00,1.617888051271438588e-01,1.617888051271438588e-01,3.078928000000000220e-01,3.078928000000000220e-01,0.000000000000000000e+00
-7.000000000000000000e+00,2.411003242731094287e-01,2.411003242731094287e-01,2.637677999999999412e-01,2.637677999999999412e-01,0.000000000000000000e+00
-5.000000000000000000e+00,3.493140312433242745e-01,3.493140312433242745e-01,2.132918000000000036e-01,2.132918000000000036e-01,0.000000000000000000e+00
-3.000000000000000000e+00,4.867680660486221056e-01,4.867680660486221056e-01,1.582938999999999874e-01,1.582938999999999874e-01,0.000000000000000000e+00
-1.000000000000000000e+00,6.424361538887023437e-01,6.424361538887023437e-01,1.039705000000000074e-01,1.039705000000000074e-01,0.000000000000000000e+00
1.000000000000000000e+00,7.948914756774901891e-01,7.948914756774901891e-01,5.630019999999999469e-02,5.630019999999999469e-02,0.000000000000000000e+00
3.000000000000000000e+00,9.124600481986999689e-01,9.124600481986999689e-01,2.286250000000000088e-02,2.286250000000000088e-02,0.000000000000000000e+00
5.000000000000000000e+00,9.762007128000259604e-01,9.762007128000259604e-01,5.932899999999999632e-03,5.932899999999999632e-03,0.000000000000000000e+00
7.000000000000000000e+00,9.967789968252181998e-01,9.967789968252181998e-01,7.826999999999999973e-04,7.826999999999999973e-04,0.000000000000000000e+00
9.000000000000000000e+00,9.998627504110336739e-01,9.998627504110336739e-01,3.199999999999999855e-05,3.199999999999999855e-05,0.000000000000000000e+00
1.100000000000000000e+01,9.999984909296035784e-01,9.999984909296035784e-01,1.000000000000000087e-07,1.000000000000000087e-07,0.000000000000000000e+00
1.300000000000000000e+01,9.999999322891235387e-01,9.999999322891235387e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,9.999999998807906909e-01,9.999999998807906909e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.900000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.100000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.300000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.700000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.900000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.100000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.300000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.700000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
