Ptxdb,IqXY,SIC1,SIC2,SIC3,SIC4,SER,SER1,SER2,SER3,SER4,Other
-5.000000000000000000e+00,1.453976002335548301e-01,1.058438801765441833e-01,1.220197010040283137e-01,1.502643978595733509e-01,2.034624218940734863e-01,6.143821985981037237e-01,6.344162640901770400e-01,6.267723429951690406e-01,6.112318840579709089e-01,5.851083032490975722e-01,5.376000000000000000e+03
-3.000000000000000000e+00,3.260420081019401728e-01,2.443136811256408636e-01,2.802815485000610396e-01,3.386683952808380305e-01,4.409044075012207298e-01,5.347507722710546085e-01,5.675040257648953368e-01,5.551660628019323696e-01,5.278522544283413831e-01,4.884807460890492337e-01,0.000000000000000000e+00
-1.000000000000000000e+00,6.437637236714363054e-01,4.985892915725708141e-01,5.746569108963012207e-01,6.718416249752044989e-01,8.299670672416686878e-01,4.213474095220239857e-01,4.745169082125603732e-01,4.463858695652174191e-01,4.095269726247987574e-01,3.549598876855194485e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.090995358824729866e+00,8.986408329010009410e-01,1.012006386518478296e+00,1.139611454010009739e+00,1.313722761869430489e+00,2.793028614177668345e-01,3.475925925925926196e-01,3.053925120772947310e-01,2.609742351046698827e-01,2.032521058965102156e-01,0.000000000000000000e+00
3.000000000000000000e+00,1.537937939167022705e+00,1.361979831457138079e+00,1.493125635385513350e+00,1.592414903640747115e+00,1.704231386184692276e+00,1.435287482487195843e-01,2.070048309178743606e-01,1.570410628019323629e-01,1.230293880837358828e-01,8.703971119133573076e-02,0.000000000000000000e+00
5.000000000000000000e+00,1.796439964771270770e+00,1.675388035774231010e+00,1.778675014972686874e+00,1.837183889150619587e+00,1.894512919187545830e+00,6.310280288430793194e-02,1.065056360708534489e-01,6.731582125603863265e-02,4.825080515297906075e-02,3.033894905736060632e-02,0.000000000000000000e+00
7.000000000000000000e+00,1.906986013948917424e+00,1.826312546730041397e+00,1.906165144443511927e+00,1.934009549617767387e+00,1.961456815004348764e+00,2.798060656795549328e-02,5.452898550724637888e-02,2.768719806763285385e-02,1.918478260869565383e-02,1.052146008824709177e-02,0.000000000000000000e+00
9.000000000000000000e+00,1.959858888387679965e+00,1.915628583431243870e+00,1.961163791418075508e+00,1.973341354131698644e+00,1.989301824569702060e+00,1.151500106094164970e-02,2.486312399355877084e-02,1.105676328502415429e-02,7.423510466988728421e-03,2.716606498194945683e-03,0.000000000000000000e+00
1.100000000000000000e+01,1.983197515308857017e+00,1.957963587045669529e+00,1.984606070518493581e+00,1.992145065069198528e+00,1.998075338602065987e+00,4.658882733973967148e-03,1.191626409017713245e-02,4.205917874396136215e-03,2.030998389694041797e-03,4.823505816285599728e-04,0.000000000000000000e+00
