Ptxdb,IqXY,SIC1,SIC2,SIC3,SIC4,SER,SER1,SER2,SER3,SER4,Other
4.000000000000000000e+00,1.130869242250919365e-01,0.000000000000000000e+00,4.523476969003677461e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.529150422352176686e-02,0.000000000000000000e+00,1.811660168940870674e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.508000000000000000e+04
5.000000000000000000e+00,1.293373435139656136e-01,0.000000000000000000e+00,5.173493740558624543e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.886013645224171975e-02,0.000000000000000000e+00,1.554405458089668790e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.483713104426860885e-01,0.000000000000000000e+00,5.934852417707443539e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.172011046133852569e-02,0.000000000000000000e+00,1.268804418453541027e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.687782826423644966e-01,0.000000000000000000e+00,6.751131305694579865e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.444476933073424368e-02,0.000000000000000000e+00,9.777907732293697474e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,1.889022603034973269e-01,0.000000000000000000e+00,7.556090412139893076e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.775820337881741165e-02,0.000000000000000000e+00,7.103281351526964660e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,2.066947732567787077e-01,0.000000000000000000e+00,8.267790930271148309e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.211411630929174962e-02,0.000000000000000000e+00,4.845646523716699849e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+01,2.212032108306884737e-01,0.000000000000000000e+00,8.848128433227538947e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.846653671215075149e-03,0.000000000000000000e+00,3.138661468486030059e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000000e+01,2.324915458261966605e-01,0.000000000000000000e+00,9.299661833047866422e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.644655620532812772e-03,0.000000000000000000e+00,1.857862248213125109e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000000000000e+01,2.402546673119068110e-01,0.000000000000000000e+00,9.610186692476272441e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.522579597140999896e-03,0.000000000000000000e+00,1.009031838856399958e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000000e+01,2.451852551400661440e-01,0.000000000000000000e+00,9.807410205602645759e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.225146198830409259e-03,0.000000000000000000e+00,4.900584795321637037e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000000e+01,2.479952000975608750e-01,0.000000000000000000e+00,9.919808003902435001e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.948830409356724932e-04,0.000000000000000000e+00,1.979532163742689973e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000000e+01,2.492530008554458554e-01,0.000000000000000000e+00,9.970120034217834215e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.812053281351526596e-04,0.000000000000000000e+00,7.248213125406106384e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000000e+01,2.498027936518192327e-01,0.000000000000000000e+00,9.992111746072769307e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.011371020142949841e-05,0.000000000000000000e+00,2.004548408057179936e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000000e+01,2.499469862282276134e-01,0.000000000000000000e+00,9.997879449129104534e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.299545159194281943e-05,0.000000000000000000e+00,5.198180636777127771e-05,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000000e+01,2.499900465309619901e-01,0.000000000000000000e+00,9.999601861238479605e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.868096166341780356e-06,0.000000000000000000e+00,7.472384665367121425e-06,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
