Ptxdb,IqXY,SIC1,SER,SER1,Other
-1.500000000000000000e+01,4.498314666748046836e-02,4.498314666748046836e-02,9.113539999999998864e-01,9.113539999999998864e-01,5.280000000000000000e+02
-1.300000000000000000e+01,7.040851688385009466e-02,7.040851688385009466e-02,9.040331999999999812e-01,9.040331999999999812e-01,0.000000000000000000e+00
-1.100000000000000000e+01,1.105898790359497036e-01,1.105898790359497036e-01,8.941003000000000700e-01,8.941003000000000700e-01,0.000000000000000000e+00
-9.000000000000000000e+00,1.708000955581664981e-01,1.708000955581664981e-01,8.813344999999999096e-01,8.813344999999999096e-01,0.000000000000000000e+00
-7.000000000000000000e+00,2.627467908859252854e-01,2.627467908859252854e-01,8.638737000000000776e-01,8.638737000000000776e-01,0.000000000000000000e+00
-5.000000000000000000e+00,3.960917453765869234e-01,3.960917453765869234e-01,8.407425999999998956e-01,8.407425999999998956e-01,0.000000000000000000e+00
-3.000000000000000000e+00,5.848119788169861000e-01,5.848119788169861000e-01,8.092695999999999223e-01,8.092695999999999223e-01,0.000000000000000000e+00
-1.000000000000000000e+00,8.375298891067505247e-01,8.375298891067505247e-01,7.672970000000000068e-01,7.672970000000000068e-01,0.000000000000000000e+00
1.000000000000000000e+00,1.158453259944915770e+00,1.158453259944915770e+00,7.104125000000000023e-01,7.104125000000000023e-01,0.000000000000000000e+00
3.000000000000000000e+00,1.540513577461242622e+00,1.540513577461242622e+00,6.350529000000000313e-01,6.350529000000000313e-01,0.000000000000000000e+00
5.000000000000000000e+00,1.973041565418243382e+00,1.973041565418243382e+00,5.374100999999998907e-01,5.374100999999998907e-01,0.000000000000000000e+00
7.000000000000000000e+00,2.441275609970092741e+00,2.441275609970092741e+00,4.188327000000000577e-01,4.188327000000000577e-01,0.000000000000000000e+00
9.000000000000000000e+00,2.926560958862304496e+00,2.926560958862304496e+00,2.870452000000000004e-01,2.870452000000000004e-01,0.000000000000000000e+00
1.100000000000000000e+01,3.384950402736663921e+00,3.384950402736663921e+00,1.616577000000000153e-01,1.616577000000000153e-01,0.000000000000000000e+00
1.300000000000000000e+01,3.736184608936309992e+00,3.736184608936309992e+00,6.765069999999999417e-02,6.765069999999999417e-02,0.000000000000000000e+00
1.500000000000000000e+01,3.928416929721832318e+00,3.928416929721832318e+00,1.780449999999999741e-02,1.780449999999999741e-02,0.000000000000000000e+00
1.700000000000000000e+01,3.990340815544128450e+00,3.990340815544128450e+00,2.304899999999999918e-03,2.304899999999999918e-03,0.000000000000000000e+00
1.900000000000000000e+01,3.999384152412414739e+00,3.999384152412414739e+00,1.191999999999999971e-04,1.191999999999999971e-04,0.000000000000000000e+00
2.100000000000000000e+01,3.999947084903717087e+00,3.999947084903717087e+00,3.599999999999999837e-06,3.599999999999999837e-06,0.000000000000000000e+00
2.300000000000000000e+01,3.999992126464843700e+00,3.999992126464843700e+00,1.000000000000000087e-07,1.000000000000000087e-07,0.000000000000000000e+00
2.500000000000000000e+01,3.999996912479400812e+00,3.999996912479400812e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000000e+01,3.999999020576477271e+00,3.999999020576477271e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.900000000000000000e+01,3.999999740600586051e+00,3.999999740600586051e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.100000000000000000e+01,3.999999277591705482e+00,3.999999277591705482e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.300000000000000000e+01,3.999999733448028394e+00,3.999999733448028394e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000000e+01,3.999999714374542048e+00,3.999999714374542048e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.700000000000000000e+01,3.999999523162841797e+00,3.999999523162841797e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.900000000000000000e+01,3.999999760150909633e+00,3.999999760150909633e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.100000000000000000e+01,3.999999521255493296e+00,3.999999521255493296e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.300000000000000000e+01,3.999999523162841797e+00,3.999999523162841797e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000000e+01,3.999999755859374950e+00,3.999999755859374950e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.700000000000000000e+01,3.999999753475189213e+00,3.999999753475189213e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
